achillea millefolium
acorus calamus
aesculus hippocastanum
allium sativum
aloe vera
alpinia officinarum
ammi visnaga
angelica sinensis
apium graveolens
arctium lappa
artemisia absinthium
artemisia annua
astragalus membranaceus
atropa belladonna
azadirachta indica
barosma betulina
bupleurum chinense
calendula officinalis
capsicum annuum
cassia senna
centella asiatica
chamomilla recutita
chrysanthemum x morifolium
cimicifuga racemosa
cinchona officinalis
cinnamomum camphora
citrus limon
codonopsis pilosula
coleus forskohlii
commiphora molmol
corydalis yanhusuo
crataegus oxyacantha
crataeva nurvula
crocus sativa
curcuma longa
dioscorea villosa
echinacea purpurea
elettaria cardamomum
eleutherococcus senticosus
ephedra sinica
eucalyptus globulus
eugenia caryophyllata
filipendula ulmaria
gentiana lutea
